ID,EBV,PEV
7802773,0.008389959952997742,0.00029164469123943454
7802774,0.00826052798423916,0.00044315959270207697
7802775,0.00921972739281773,0.00030971910846511126
7802777,0.009315309826051816,0.00036544086991048064
7802780,0.00929929585714126,0.0004922624694728103
7802781,0.004556818338591256,0.0002546778530517519
7802783,0.011091956966323778,0.000458735754390798
7802784,0.006379505806020461,0.0002490998496235458
7802785,0.009063752145841136,0.00032153658538681637
7802790,0.012797199959029967,0.0005843682715684993
7802791,0.009796478102216497,0.00038410762654940374
7802793,0.008119628200729494,0.00032634652372659777
7802796,0.007153950605497812,0.0003978396150319293
7802803,0.008010867819524719,0.00030899521550803867
7802804,0.012297011680260766,0.00047224604542403205
7802810,0.008804797159518785,0.0002636730032809308
7802814,0.009630794230033643,0.00038627007167137297
7802815,0.0070669257779954935,0.00028555793683029035
7802816,0.004392083785816794,0.00029347932578990463
7802818,0.00952197526730015,0.0003473181375404904
7802823,0.009431928955382318,0.0003316242110041494
7802832,0.006002026757181739,0.00025266273917106123
7802833,0.006379089737351023,0.0003447482545250088
7802834,0.0067239893523365025,0.00030656905374902934
7802835,0.007385862830738915,0.0002801777043420035
7802842,0.009665807714394759,0.0003623135291961753
7802844,0.009550444291016901,0.00031843485847483964
7802850,0.00977307433209353,0.0003313927407388397
7802853,0.009306297400631592,0.0004058888018516199
7802854,0.008977988164057024,0.00039205374855634523
7802856,0.005728768336542999,0.0003157658253567212
7802860,0.010554765396183939,0.0003118105529189391
7802861,0.008715051761537324,0.0002758401756925827
7802862,0.010750472449250082,0.0004795316439297373
7802869,0.009627249347322503,0.00043063890975791945
7802872,0.010847051130986074,0.0004637480246952807
7802873,0.010238246632412483,0.0003546802099956146
7802875,0.006041547816726961,0.0002634826040987351
7802878,0.005749380257009762,0.00024145362121529473
7802879,0.010829613597187746,0.0003073778317820656
7802883,0.00880095868110584,0.00040720341710312377
7802886,0.003681495185097447,0.0002753752551559417
7802891,0.007020850366148807,0.0003209468130563151
7802892,0.009464005894842557,0.00033396458283847823
7802898,0.009361186274196371,0.0004993075228059967
7802899,0.01056986888384563,0.00039518857499467046
7802901,0.009148170590691734,0.000508162842072005
7802906,0.010275137846023427,0.00035511897166230533
7802908,0.009253137216663163,0.00032392728190196234
7802909,0.010065855913497217,0.00033035292765171804
7802910,0.01076071198558202,0.00038823571541277314
7802911,0.010882418466164381,0.00037637275134265344
7802913,0.007901043768564705,0.0003626612378745664
7802915,0.0066977866982633714,0.0003036390108198364
7802917,0.006968922704749275,0.00037727064349415187
7802918,0.005484526774351252,0.0002666614184414906
7802919,0.011310992908576737,0.0003222503347327252
7802920,0.012642042674706318,0.00044874177138768334
7802927,0.00830579063524783,0.0003966095709754524
7802929,0.01298622320787399,0.0004559504377134825
7802930,0.013896055084012914,0.00041814818515524695
7802931,0.012770473840777412,0.0004433374783641845
7802932,0.008300611729784578,0.0002745604135296229
7802934,0.009128550752910088,0.0004817658561077218
7802936,0.004415899857012846,0.00023869321901589694
7802937,0.006671402098909311,0.00027778429285889484
7802938,0.0089166014866787,0.0003386351803663507
7802942,0.007906848269478359,0.00029454214397419163
7802943,0.008663116933224956,0.0003335777553780621
7802944,0.006362191156164045,0.0003793448035854636
7802947,0.008865651120984693,0.0002649172011276824
7802950,0.01170057579744025,0.000661036022404252
7802956,0.008541254609226598,0.0003690659441206706
7802962,0.007966661161424781,0.00027984591624475414
7802971,0.01145064388946048,0.0005917234549018734
7802973,0.009590789653884713,0.0003502004678659129
7802974,0.007980501391808502,0.00030245887762098454
7802975,0.008773623085879081,0.0003354708985492492
7802979,0.0078006773803645044,0.0003394651208631789
7802981,0.007448028226339375,0.00030407365204975856
7802982,0.011076164940204762,0.00040007025663321125
7802983,0.00887702149845427,0.00034395849282474597
7802985,0.00759265127699473,0.0003536140642946685
7802989,0.0144554011283617,0.0005913626719802318
7802990,0.008504870556032983,0.00044483155344553216
7802992,0.005385706946224673,0.0002641265492188849
7802995,0.008207109633411164,0.0003116039205438793
7802998,0.008859979409287917,0.00036460624413736724
7802999,0.01238016360209076,0.00038765261007340206
7803001,0.008858263946312945,0.00040836948522812873
7803002,0.008586315272696083,0.00031044796706110935
7803010,0.007167663453612477,0.0003496783530384447
7803011,0.007254540870930214,0.00024608883906253835
7803013,0.005201708039647201,0.00025301734052134416
7803014,0.00889608582521032,0.00038559419882614224
7803018,0.006992355398979271,0.000348339732797391
7803019,0.009010449548484758,0.0003994604006516983
7803022,0.005034927235275973,0.00024632840720570533
7803023,0.008587761286660679,0.0003679224843480097
7803029,0.009861594559450168,0.0005536979623285954
7803030,0.0072865141601068896,0.0002886008898570017
7803032,0.008881255454936763,0.00037762226617422685
7803039,0.010655173957857186,0.00039987822112010296
7803040,0.0070150445370236415,0.00029172530350956536
7803046,0.006610676618583966,0.00026400582213442493
7803047,0.0078006433274131265,0.00035252153368090845
7803049,0.009585819745319895,0.00042456124314950265
7803052,0.00986653432859748,0.0003299933345110247
7803053,0.010037359053618274,0.00036675035358806816
7803054,0.009340156898681016,0.00031840244442659944
7803059,0.012464450140192639,0.0005181014509835924
7803064,0.010441471193989854,0.00030907386124341717
7803065,0.007779227349470602,0.00041107276756859994
7803066,0.010023217589594425,0.0003455513764531135
7803068,0.01135943215934094,0.00038555461261264857
7803069,0.007939166050775385,0.0002459002908003663
7803074,0.010271217638452072,0.00048756707776296756
7803075,0.00902435698636691,0.00028337878988014993
7803076,0.006768199928337708,0.0003132822925769876
7803078,0.008444099489979635,0.0003185821716386072
7803081,0.007796104936511256,0.00040421432364436274
7803082,0.011157573418880929,0.00043905373863563726
7803083,0.00861925572543987,0.0003550827117244523
7803084,0.010153371326334308,0.0003454115272058473
7803085,0.010018663044131244,0.0003522752277483162
7803086,0.0069388072605070196,0.0003653045358921815
7803087,0.007077491673160694,0.0003175709006659379
7803089,0.008243709275295259,0.0002952393008350809
7803090,0.005410501128382748,0.0002890576357077886
7803091,0.009622297651105328,0.00046493161169284424
7803094,0.006932966132924776,0.00043882169312247244
7803095,0.008974092042408302,0.0002520288025406521
7803096,0.00870673250220716,0.00037421845385695424
7803097,0.007487588187505025,0.0002685563734603759
7803098,0.007903446687232646,0.0003177259896367223
7803104,0.006488754555670312,0.000338448771248611
7803106,0.009238846706255572,0.0003016938465477994
7803107,0.009097894280130277,0.0005312254207689527
7803108,0.01037459684710484,0.00032657191966384107
7803110,0.009822421985103575,0.0003400459206093111
7803111,0.00865244271332631,0.0003630876735178055
7803112,0.009173884776606429,0.00036312407784345357
7803113,0.008474781826909748,0.0003100548760852721
7803114,0.010481518605447491,0.00036078414511337694
7803115,0.008979472785824328,0.0003874697421390067
7803116,0.010376512277813162,0.00037921110786141957
7803120,0.01065643360649119,0.00029550718034114114
7803123,0.0066309649865143,0.0002286169444869743
7803124,0.008399282502839923,0.0003804051738507652
7803125,0.008984844709890239,0.00031351251704717477
7803126,0.006126735173806083,0.00037348238330103703
7803129,0.008712621636455878,0.0003254518851488576
7803132,0.01034989314537961,0.00032893141103908544
7803133,0.009868297076347517,0.00034610130889560205
7803136,0.007976256342015403,0.0002987712476393952
7803137,0.00862011366558363,0.00029151322984250877
7803139,0.010997926597570767,0.00046254282584234685
7803145,0.00854258989427035,0.00029557900143311954
7803147,0.009663214564701775,0.0003170871454542222
7803151,0.009191351015819237,0.00031458676717282304
7803153,0.012636820517494925,0.00047780855538818843
7803155,0.003579356611488038,0.0002462243721281104
7803158,0.0052391563551209405,0.00025495184059247194
7803159,0.0069036657045653555,0.0003391328618201476
7803160,0.008558425005932804,0.0003491498114641496
7803163,0.012159061183163431,0.00038771774014749564
7803164,0.007893291586835403,0.0004274940325988009
7803168,0.009934117431024788,0.0004127399780074504
7803169,0.008280612187460065,0.0004408242345158664
7803172,0.010891209002875258,0.00041045310872769175
7803173,0.0067621474017723815,0.0002809871142730653
7803174,0.009767141744261607,0.00048527590883051737
7803175,0.009205520560186415,0.0003439240302556037
7803176,0.005859539312572451,0.0002637910248429896
7803179,0.008036497529607004,0.00026742803989715486
7803180,0.005650959810503992,0.00029988755245863975
7803181,0.00890047930012588,0.00032229993577510775
7803182,0.006962163830758072,0.00023869541237817718
7803184,0.00809782843540961,0.0002853774362725663
7803185,0.011331948588398519,0.0003135546036321568
7803187,0.008536422856792342,0.0003093807446131924
7803188,0.008207441739999922,0.0004711559581315839
7803194,0.0075870505844650325,0.00035265195044885346
7803198,0.009567763039231068,0.00031371835287432844
7803199,0.007580156591066043,0.000434368507858864
7803200,0.009142981560493355,0.0003741612949627571
7803201,0.011281252790802682,0.00037234220785308496
7803202,0.006740744956674462,0.0002689359871148209
7803203,0.007121625187108293,0.000365179142949245
7803204,0.008719567314285087,0.00034827892887462385
7803207,0.011262266147008631,0.000453276455684823
7803212,0.006775143544233288,0.00025576005504296883
7803214,0.008961733449395978,0.0003235647323429005
7803217,0.010549091689528722,0.0004109327507803302
7803219,0.00975088433775818,0.0004487269127540408
7803220,0.008787212876690318,0.00031326089182099313
7803221,0.007924211783058126,0.00028245243806700724
7803222,0.009281887762233964,0.0002834343783788619
7803223,0.008837376888928702,0.0003723615501186229
7803224,0.006390683376943343,0.0002555380005448644
7803225,0.008462388394895243,0.0004569363420913023
7803226,0.008532774559862446,0.0003403494482249547
7803227,0.00946165624265268,0.00036775755708926114
7803228,0.009629809290112461,0.0003890181405306488
7803230,0.006479740426831995,0.0004060876003104715
7803232,0.009066802706191084,0.0003951330399356583
7803233,0.008859959267414523,0.0002932418328980568
7803234,0.011660191285925976,0.0003798414161240832
7803235,0.008079023809812498,0.00037174054556654486
7803237,0.011810411619240768,0.00032092314783245773
7803238,0.005429375374060328,0.0002415158943161738
7803239,0.008220578620188462,0.0003036027791968027
7803242,0.008621430439350661,0.00031021181410079916
7803244,0.004288479601120343,0.0003372071884212615
7803252,0.010227855505392654,0.00035690892914681024
7803253,0.009092097134816868,0.00028059203915064906
7803254,0.008771423497149954,0.0003147569075750278
7803258,0.00556864478247735,0.00026815096732590724
7803259,0.009543037116091,0.0003461739091273592
7803260,0.010793234025233687,0.0002857391145148106
7803262,0.007292452429403056,0.0002988385255271238
7803264,0.009511523940047482,0.00036735517408443234
7803268,0.00602600589604117,0.0003415309247466158
7803270,0.009784164130214776,0.0003414888932033524
7803274,0.011682008608971955,0.0004997956270578187
7803279,0.00983765620063059,0.00028792864746005493
7803281,0.01157986426021671,0.0004827722775169848
7803283,0.010266974934071187,0.0003214629848602075
7803284,0.004674380597280105,0.00026304138896928944
7803285,0.005623850060335826,0.00028177897348345736
7803288,0.009631995755640674,0.00034398437343154527
7803290,0.011033281629650445,0.00040232231851523745
7803292,0.011064031262450954,0.0004195516238840651
7803293,0.011541266807878856,0.00043364518834572137
7803294,0.010010031457793956,0.0004052611522311855
7803299,0.008537276479066349,0.0003482820315999157
7803301,0.007291611766035203,0.0002812577954783966
7803302,0.008882606066414155,0.00033998774642268173
7803303,0.009478278856142424,0.0003169241872370999
7803305,0.006287632846331689,0.0003208632278945069
7803306,0.008183585829698132,0.00044719819273248215
7803310,0.008502386466017925,0.0002968503819832779
7803312,0.011174879521480762,0.00038997216347926147
7803313,0.00880834703752771,0.0003889529574686479
7803315,0.008031390653537527,0.0004207731127274776
7803317,0.00793495091763907,0.0004589671416882876
7803318,0.006132186772785644,0.0002494414983910827
7803319,0.007298462387858308,0.0003075006834041325
7803331,0.008330780738702743,0.0004013008281344259
7803333,0.009018165578469052,0.0003711592241291057
7803334,0.008583332724389037,0.00034259124508844823
7803338,0.010434829676320078,0.0005669527038767409
7803339,0.008437738789496507,0.0002529617364305374
7803340,0.008943455326472758,0.000395083827310976
7803341,0.012054346593009541,0.0003683110317065045
7803342,0.0100488305214094,0.0003999273787220514
7803343,0.010854994486304349,0.0003794271441887564
7803344,0.007522598955099965,0.0004112270591747512
7803345,0.011811248307523784,0.000440048905183013
7803346,0.009190023603448935,0.00030841539078478255
7803347,0.007006608700568904,0.00032055754795380447
7803348,0.008466433698369656,0.0003547328113185424
7803354,0.008890091354471224,0.0002925178610801347
7803355,0.010439298629789847,0.00038161439307670043
7803360,0.011169970445575017,0.00031380047452754447
7803361,0.008526810490191565,0.0002981965410389806
7803362,0.00966839566937415,0.00036807657328151634
7803363,0.008534186181233963,0.0002853733757281311
7803365,0.008945578343380476,0.00028286247030689373
7803366,0.00779597237528651,0.0002573329141801368
7803368,0.007986263726255856,0.00043111162779654573
7803370,0.006289001855824608,0.00023481031751968297
7803371,0.008919857208678878,0.0003205180999644634
7803373,0.005920934462934383,0.0002568489771015609
7803375,0.010047831153031438,0.0005332489006146635
7803376,0.009398249439844221,0.0005227768391065973
7803379,0.00938996963869431,0.0004513510194990474
7803381,0.007303283482338884,0.00028374750159249637
7803383,0.010215789395442699,0.00041605068463556824
7803384,0.004694104333331779,0.00024088893634659716
7803385,0.010942633607264725,0.00037320462998128727
7803392,0.009016645286828861,0.00034659276507116235
7803393,0.009323491883556925,0.0005164591221062423
7803394,0.00991980227492968,0.00033502141899743307
7803395,0.00801214208418969,0.00044857821785285786
7803397,0.011113050906002172,0.00045131599237273383
7803398,0.0120186906294839,0.00041724920509009233
7803399,0.010441382029166562,0.00046337719418429067
7803400,0.009365080283256248,0.0004905354359782652
7803401,0.008817379438092757,0.0004468774994049427
7803402,0.0069237971468828615,0.00026148707732697357
7803405,0.0096269886266673,0.00038527307864613176
7803406,0.010482233504179022,0.00032333244991842664
7803407,0.009674646835381282,0.00034226229360099597
7803408,0.008731793344399193,0.0002712845698368119
7803410,0.007360987800653675,0.00031737439681432336
7803413,0.009047376280650497,0.00047776864637232594
7803414,0.0075375574176287045,0.00030703005536640544
7803415,0.010454968859165092,0.00046192449324743574
7803417,0.008507884694525274,0.00045420656175794807
7803419,0.010181521168429753,0.0004279917098221755
7803420,0.009707828387545305,0.00045696965452351356
7803423,0.007401151173442486,0.0004176292028343853
7803426,0.00911461226701431,0.0004134302569880504
7803427,0.007370117571234004,0.000265556023819686
7803428,0.009397386924014426,0.00029027465672964195
7803429,0.008863909725216217,0.0003398416260581173
7803432,0.010559509699774936,0.00046090015181272877
7803433,0.008832097076025093,0.0003067970962070337
7803434,0.012224850485457864,0.0003946391002570466
7803435,0.006142853272751382,0.0003493534297770955
7803436,0.009380907203812967,0.0004273590439558799
